"name","year","death_rate"
"Bangladesh",2005,6.205
"Bangladesh",2006,6.092
"Bangladesh",2007,5.987
"Bangladesh",2008,5.892
"Bangladesh",2009,5.807
"Bangladesh",2010,5.734
"Bangladesh",2011,5.673
"Bangladesh",2012,5.625
"Bangladesh",2013,5.589
"Bangladesh",2014,5.565
"Bangladesh",2015,5.549
"Bangladesh",2016,5.539
"Bangladesh",2017,5.533
"Bangladesh",2018,5.529
"Bangladesh",2019,5.526
"Bangladesh",2020,5.524
"Canada",2005,7.1
"Canada",2006,7.0
"Canada",2007,7.1
"Canada",2008,7.2
"Canada",2009,7.1
"Canada",2010,7.0
"Canada",2011,7.1
"Canada",2012,7.1
"Canada",2013,7.2
"Canada",2014,7.3
"Canada",2015,7.4
"Canada",2016,7.4
"Canada",2017,7.5
"Canada",2018,7.7
"Canada",2019,7.6
"Canada",2020,7.831
"Chad",2005,16.636
"Chad",2006,16.295
"Chad",2007,15.909
"Chad",2008,15.489
"Chad",2009,15.047
"Chad",2010,14.598
"Chad",2011,14.161
"Chad",2012,13.752
"Chad",2013,13.38
"Chad",2014,13.053
"Chad",2015,12.77
"Chad",2016,12.527
"Chad",2017,12.309
"Chad",2018,12.104
"Chad",2019,11.907
"Chad",2020,11.715
"Guinea",2005,13.545
"Guinea",2006,12.954
"Guinea",2007,12.379
"Guinea",2008,11.854
"Guinea",2009,11.395
"Guinea",2010,11.002
"Guinea",2011,10.657
"Guinea",2012,10.331
"Guinea",2013,10.003
"Guinea",2014,9.67
"Guinea",2015,9.337
"Guinea",2016,9.013
"Guinea",2017,8.715
"Guinea",2018,8.452
"Guinea",2019,8.225
"Guinea",2020,8.033
"Indonesia",2005,7.203
"Indonesia",2006,7.087
"Indonesia",2007,6.965
"Indonesia",2008,6.849
"Indonesia",2009,6.744
"Indonesia",2010,6.653
"Indonesia",2011,6.579
"Indonesia",2012,6.518
"Indonesia",2013,6.471
"Indonesia",2014,6.437
"Indonesia",2015,6.419
"Indonesia",2016,6.418
"Indonesia",2017,6.433
"Indonesia",2018,6.465
"Indonesia",2019,6.51
"Indonesia",2020,6.567
"Mexico",2005,4.792
"Mexico",2006,4.869
"Mexico",2007,4.961
"Mexico",2008,5.06
"Mexico",2009,5.163
"Mexico",2010,5.266
"Mexico",2011,5.369
"Mexico",2012,5.471
"Mexico",2013,5.572
"Mexico",2014,5.67
"Mexico",2015,5.763
"Mexico",2016,5.851
"Mexico",2017,5.933
"Mexico",2018,6.01
"Mexico",2019,6.082
"Mexico",2020,6.15
"Philippines",2005,5.469
"Philippines",2006,5.478
"Philippines",2007,5.497
"Philippines",2008,5.529
"Philippines",2009,5.572
"Philippines",2010,5.623
"Philippines",2011,5.674
"Philippines",2012,5.719
"Philippines",2013,5.754
"Philippines",2014,5.78
"Philippines",2015,5.798
"Philippines",2016,5.815
"Philippines",2017,5.839
"Philippines",2018,5.873
"Philippines",2019,5.92
"Philippines",2020,5.979
"Togo",2005,11.929
"Togo",2006,11.629
"Togo",2007,11.291
"Togo",2008,10.926
"Togo",2009,10.548
"Togo",2010,10.175
"Togo",2011,9.826
"Togo",2012,9.514
"Togo",2013,9.244
"Togo",2014,9.02
"Togo",2015,8.841
"Togo",2016,8.695
"Togo",2017,8.568
"Togo",2018,8.446
"Togo",2019,8.324
"Togo",2020,8.199
"United States",2005,8.3
"United States",2006,8.1
"United States",2007,8.0
"United States",2008,8.1
"United States",2009,7.9
"United States",2010,7.995
"United States",2011,8.073
"United States",2012,8.102
"United States",2013,8.215
"United States",2014,8.237
"United States",2015,8.44
"United States",2016,8.493
"United States",2017,8.638
"United States",2018,8.678
"United States",2019,8.7
"United States",2020,8.947
